1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
Interview ID,ID,Date Time,Has the participant signed the consent form?,In what language would you prefer to run the interivew?,Which of the following assets do you own?,Which of the following items do you have access to in your daily life?,"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important",sub-county,What is your age?,What is your gender?,Marital Status,What is the highest level of education have you completed?,If other: What is the highest level of education have you completed?,What is your current occupation?,You chose other - What is your occupation?,Number of females in household,Number of males in household,Who would you define as the head of your household?,Who is the head of the household?,Age of household head?,Household members less than 18,Household members between 18 to 30 years of age,Household members between 31 to 55 years of age,Household members over 55 years of age,Who decides regarding: Buying assets (including animals),What is the monthly total income of your household (KES)?,Do you have a disability?,What disability do you have?,Type of disability,What is the ownership of the dwelling?,Are you happy with the quality of the construction in your house?,What would you change about your house and why?,What are the main 3 building materials used to build your house?,Who can you consult in case of health issues?,You selected other – Who can you consult in case of health issues?,Where do you receive health care treatment?,How long does it take you to travel to receive healthcare?,Do you treat the water to make it safer for drinking?,What is the use of water from these different sources? - Community tap,What is the use of water from these different sources? - Municipality tanker,What is the use of water from these different sources? - Your house tap,What is the use of water from these different sources? - River,What is the use of water from these different sources? - Rainwater Harvesting Tank,What is the use of water from these different sources? - Community well/borehole,Do you grow your own vegetables?,What vegetables do you grow?,I other - What vegetables do you grow?,How do you irrigate your land?,If Other - How do you irrigate your land?,How much has your yield increased since you started using an irrigation pump?,What is the main source of lighting?,What is the main source of electricity in your home?,What is the electricity used for?,Do you use electricity for your business?,What do you use electricity for in your business?,What do you use the energy from the following sources for: - Coal/Charcoal,What do you use the energy from the following sources for: - Solar (community),What do you use the energy from the following sources for: - Firewood,What do you use the energy from the following sources for: - Solar (private),What do you use the energy from the following sources for: - Other Fuels,What extreme climate event are you most worried about?,What other extreme climate event are worried about?,Why are you most worried about this climate event?,Given the chosen climate event - which 3 items are most useful to you?,"In your own words, how would you describe climate change?",Are you worried about climate change?,What has changed in your community in recent years relating to climate change?,Have you ever experienced flooding in your home?,How many times do you experience flooding in your home every year?,In which months have you experienced floods in your home?,Please describe how you were affected by the flooding?,Who would you contact in case of a flood?,Do you have any means of preventing flooding in your home?,Please describe what you would do (actions you take) in case of a flood.,Have you experienced fire in your home?,(If yes) describe how are you were affected by fire?,Who would you contact incase of a fire?,Do you have any means of preventing fire in your home?,Please describe what you would do (actions you take) in case of fire.,Are there any other hazards affecting you and your community?,What other risks or hazards affect you and/or your community?,How many days are spent on average during/after a catastrophic event to return to normality?,How much money [in KES] is spent on average during/after a catastrophic event to return to normality?,Which of the following community services do you use?,How do you get to this community service?,How long does it take to get to this community service?,Do you find it difficult or easy to access this community service?,How do you communicate with other communities?,How do you receive political information? (e.g. about elections),How do you receive information about health?,How often do you read the newspaper?,How often do you use the internet? (How?),How often do you watch TV?,How often do you listen to the Radio?,How well connected do you feel within the community?,Generally speaking would say that most people can be trusted or that one cant be too careful in dealing with people?,"What community organisation and/or social activity group you are part of? (e.g. church, stokvel, NGO, NPO, Community based organisation, etc.)"
637b9ae7424d8c224095c0ed,202080788,2022-11-21T15:36:07,OK,en,"Mobile phone,TV,Solar PV System,Cow,Radio,Motorbike","Money,Mobile Phone,Motorcycle,Road,School,Stove,Torch,Vegetables,Water,House,Doctor,Corrugated Iron Sheet,Borehole,Bible","Mobile Phone,Water,House,Solar PV System,Vegetables",Alego Usonga,38,Male,Married,Secondary,,"Farmer-crops,Farmer-animals",,3,3,Father,,38,4,0,2,0,Joined,5000,No,,,Owns it fully,No,"May you tell me what you would like to change in your house and why?

I would first want to build a nice house then I change some things in that house such as changing solar to electricity. I would also need to change my seats to more comfortable ones and things like that.",Corrugated iron sheets,Health Provider,,Outside your own village/town,30,No,,,,Cooking,,"Bathing,Washing Clothes,Watering Crops",Yes,"Kale,Maize,Beans",,Well,,,Solar Lantern,Private Solar System,,No,,"Cooking,Lighting",,,"Cooling,Other appliances",,Drought,,"Tell us why climate change worries you so much as a farmer. Whenever there is prolonged drought everything you plant, be it crops, trees, or fruits cannot do well. The animals also die when there is drought.","Irrigation,Jerrycan,Water","Could you tell me how you understand climate change?

Climate change means that things aren't happening as they used to happen before. You find that it doesn't rain as it used to in the past, how the sun shines now is different from the past same as the winds. So majorly how the weather was in the past is different from the present.",Yes,Firstly the change that has occurred is the decline in yields when we harvest our crops due to inadequate rainfall. Before people always had there harvest in abundant. Secondly our farms have lost their fertility and so our harvest cannot match the previous ones in the olden days.,No,,,,Neighbour,No,I dont know,No,,Municipal officers,No,Water,"Other,Outbreak of Diseases",,15,5000,"School,Market,Health Centre","['Walking ', 'Walking ', 'Boda boda']","['30', '30', '5']","['Hard', 'Hard', 'Hard']",Mobile phone,Mobile phone,Mobile phone,Never,Every day,2-3 times week,Every day,Very connected,One should trust but needs to be careful,CBO
637ba38c2e7da14daf4a17db,202074440,2022-11-21T16:13:00,OK,luo,Mobile phone,Bible,"Clothes,Bible,Mobile Phone,River,Rainwater Harvesting System",,34,Female,Married,Primary,,Unemployed,,5,4,Father,,42,5,3,0,0,Only Husband,5000,No,,,Owns it fully,No,"For this house? If we have the means or if I can get support somewhere, I can  change the floor. That is plaster it. Yes, I should get an easy job cleaning  it and thus preventing diseases.","Mud bricks,Corrugated iron sheets,Bricks",Doctor,,Outside your own village/town,30,Yes,,,,,"Cooking,Bathing,Washing Clothes",,Yes,Maize,,Run-off of the river,,,Solar Lantern,Private Solar System,,No,,,,Cooking,,,Drought,,It does not cause hunger due to lack of water.,"Bike,Borehole,Clothes","Climatic change is when there is drought, it brings hunger.",Yes,"Are you worried about that? 

I am worried because the plants are not doing well now, and could bring drought in the future.

For this community of yours?

Yes",No,,,,Police,No,Cannot,No,,other ,Don't know,Cannot,Other,Non,30,1000,"Market,Health Centre,Firewood Source (e.g. forest)","['Walking ', 'Walking ', 'Walking ']","['30', '30', '20']","['Hard', 'Hard', 'Hard']","Mobile phone,Word of mouth","Word of mouth,Mobile phone","Word of mouth,Mobile phone",Never,Never,Never,Never,Somewhat connected,One should trust but needs to be careful,Church
637bc3062130c43f58160d88,202118703,2022-11-21T18:27:18,OK,luo,"Mobile phone,Tea Kettle,Solar PV System,Cow,Goat,Homestead","Bible,Bike,Clothes,Furniture,Grain Mill,Hospital,House,Irrigation,Jerrycan,Light Bulb,Mobile Phone","Bike,Clothes,Hospital,House,Irrigation",Ugunja,55,Male,Single,Primary,,"Unemployed,Shop owner",,6,7,Father,,55,4,6,4,,Only Wife,,Yes,,Visual Impairment,Owns it fully,No,"Because it is a semi permanent house termites are getting, I want it to be transformed into a permanent house. If there is a possibility I want it transformed into a permanent house.","Corrugated iron sheets,Cement",Nurse,,Outside your own village/town,15,Yes,,,,"Cooking,Bathing,Washing Clothes,Watering Crops",,,Yes,Kale,,Well,,,Solar Lantern,Phone touch light,,No,,,,"Cooking,Lighting,Cooling,Other appliances",,,Drought,,Cows are dying because there is no pasture to graze on. People have nothing to eat. We are suffering from hunger. Drought has brought up a lot of problems.,"House,Borehole,Grain Mill","Sometimes when its not there (word not heard) it changes and sometimes clouds come and dissapear. It behaves as if it wants to rain then it dissapears. Sometimes in last month it disapears for long then plants like maize you are seeing up there started to wither until the month of November is when it started to rain. (Word not heard). It behaves that ways every year  and the reain dissapears for two weeks.  When the maize plant begins to grow it always need rain. When there is shortage of rain when it is growing it does not do well. You see the ones in front there, they withered and even if it rains now there will be no change.",Yes,Low rainfall. Grass has dried. It has brought hunger.,No,,,,,Don't know,,No,,,,,Dumping,,5,1000,"Market,Water Source (e.g. river; well),Financial Service (e.g. M-Pesa agent; bank)","['Bicycle', 'Bicycle', 'Bicycle']","['5', '15', '15']","['Easy', 'Hard', 'Very easy']",Social events  ,Radio,Social events  ,Occasionally,,Every day,Every day,Very connected,You can't trust anyone,Village and church elders.
637bee7f7365a87c4ee05ff2,202132530,2022-11-21T21:32:47,OK,luo,"Homestead,Stove,Radio,Solar PV System","Bible,Clothes,Furniture,Grain Mill,House,Jerrycan,Kerosene Lantern,Light Bulb,Mobile Phone,Money,Road,Solar PV System,Stove,Toilet Squat,Vegetables,Water,Watering Can,Wheelbarrow,Wood Stove","House,River,Vegetables,Clothes,Stove",Alego Usonga,64,Female,Married,Primary,,Unemployed,,0,3,Husband,,64,2,1,1,1,Only Wife,500,No,,,Owns it fully,Yes,"I would like to plaster it if God blesses me with something. That would be great because I can no longer ""muono"" (smearing the floor and walls of a mud house with a combination of cow dung and special soil to maintain its beauty).","Corrugated iron sheets,Mud bricks,Wood",Doctor,,In  your own village/town,30,Yes,,,,Bathing,,"Cooking,Bathing,Washing Clothes,Watering Crops",Yes,Other,Boo,Drip irrigation,,,Solar Lantern,Private Solar System,,Yes,Rare,,Lighting,,,,Flood,,"I fear flood because it intereferes with properties and when it floods it damage. It floods and carry away properties, even if its land it erodes everything to the river until i remain without food and that why I fear it.","Boat,Corrugated Iron Sheet,Stove","Climate change? Weather changes because sometimes it rains and other times the sun shines. We always hope for the rains to come and it does not always rain. It is the sun that shines each and every day. Climate change is not good to my well being. It is threatening my well being because I do not find what to feed on. The rains enable me to grow vegetables in my garden, which I harvest and consume.",Yes,"What do you feel has changed in your village in regard to climate change?

Our village is not doing badly, I am experiencing peace. I haven't seen anything bad.

What about ways of farming and how you get food?

We are trying in farming except for the setbacks we get from rainfall. I don't see lazy people. We all tend to our farms.

Thank you.",No,,,,Other (specify),No,Rare,No,,Friends,No,I can remove items from the house.,Outbreak of Diseases,,5,1000000,"Market,Water Source (e.g. river; well),Health Centre","['Walking ', 'Walking ', 'Walking ']","['30', '20', '30']","['Easy', 'Easy', 'Easy']",Word of mouth,Word of mouth,Word of mouth,Never,Never,Never,Occasionally,Very connected,One should trust but needs to be careful,Rare
637beef3c49dd25bd4baa527,202149861,2022-11-21T21:34:43,OK,luo,"TV,Mobile phone,Access to internet,Solar PV System,Cow,Homestead","Bible,Bike,Clothes,Corrugated Iron Sheet,Furniture,Gas Stove,House,Light Bulb,Medicine,Mobile Phone,Money,Road,Solar PV System,Vegetables,Water","Bible,Clothes,Bike,Borehole,House",Alego Usonga,50,Male,Married,Secondary,,Other,Pastor,3,3,Father,,50,4,3,2,0,Only Husband,15000,No,,,Owns it fully,Yes,"If God opens for me a way, I still want to have my house, I won't demolish it but will renovate it. I can expand my sitting room because I am a pastor and I have many visitors who visits, and may want the word of God to be preached. I have my in laws. My sitting room is small and I can expand it. Again I have my main bedroom and the visitor's bedroom which can be enough for one visitor. If God can bless me to have money, I can expand it and add another one bedroom for my visitors who visit.  I can expand it because it does not have a toilet and bathroom inside. Sometimes it rains at night and with bad things that happen in the world, if you come out of the house at night going to the toilet it is as if you are risking your life. So if God gives me money I can bild bathroom and toilet inside my house.","Cement,Corrugated iron sheets,Bricks",Nurse,,Outside your own village/town,60,Yes,"Cooking,Bathing,Washing Clothes",,"Cooking,Bathing,Washing Clothes","Bathing,Washing Clothes","Cooking,Bathing,Washing Clothes,Watering Crops","Cooking,Bathing",Yes,"Maize,Other",,Other,Depends on rain water.,,Solar Lantern,Private Solar System,,No,,Cooking,,Cooking,Lighting,,Extreme Heat,,"The thing we consider a disaster that can harm the world should it enter the world is extreme heat. There is nothing that can happen in the presence of extreme heat. That is because everything that is done needs water, everything that is done requires a supportive weather. Let's say the crops you plant, or even the life of a human being, cannot happen when there is so much heat. You'll find that there is a climate that is favorable for the life of a human being, however, should there be extreme heat, there is nothing that can survive in this world. We see countries abroad where whenever there is extreme heat prevails even for only three months, everything dies beyond salvage. Therefore I think that extreme heat can be a disastrous thing should it happen. It would mean that we forsake farming, we forsake rearing of animals. Ourselves, where will you run for help? That's why I'm saying that if it is to happen then it would be the end of us because everything we help ourselves with comes from the soil. These things come from the soil because they need water, however, how would you farm if there's such drought? Therefore, whenever we see drought, it is like when we see ourselves dying, we are no longer there. Therefore, it is such a scary thing. It would be a disaster should it enter the world. I consider it a very scary thing in the life of a human being. I'll finish there.","Borehole,Donkey and Cart,Irrigation","Climate change is the difference in the weather patterns. The difference is seen when sometimes there is too much rainfall and sometimes there is drought. If in the past days, a lot of rainfall is experienced and and today there is drought, then I can describe that as climate change. So climate change is when there is a change in the weather patterns from the yesterday and today. We saw climate changing to a point where we cannot predict whether we can have a good or bad harvest. We can experience heavy rains then at the end there is drought and very high temperatures. So we cannot predict how our crops will do if we plant. For the crops to do well, they need at least three months of predictable weather pattern. With the constant weather changes between high rainfall and drought the crops cannot do well. Rainfall is required during planting and weeding and sunshine during harvesting. With the weather changes, we experience sunshine when we need rain and rain when we need sunshine. That is where climate change affect farmers like myself.",Yes,"Results because of climate change? Should I mention the positive or the negative ? As a result of climate change, our land has died (become desolate). In some instances, climate change has triggered a lot of rainfall to the extent that one can imagine it will never rain again. It rains so much to the point it ruins our walking paths. Sometimes, it rains and floods.  So many people have migrated but some can't migrate because they don't have the finances to do so. That has been climate change. Some people's farms have been washed away by erosion including the very top soil that has humus that has gone with the rainwater. People are forced to farm in barren lands where no crop can produce yields in. Because they were not ready for climate change, it surprised them. They were not aware of it. Climate change has also brought about some new kinds of trees, trees that are not indigenous to this place. I think they have been transferred by the rain water. Even climate change has favoured these trees. Trees we have never seen before. There is a particular one that meanders on the ground and is very thorny. It's a tree that wasn't previously on our land. We can't tell where it is from. Maybe it was brought by moving water or climate change has allowed it to sprout and flourish here. Cows can't graze next to eat because it's very thorny. In fact, cows cannot even put their mouths on the ground if it's around. Climate change has driven us to hunger and we can't predict the climate. You can work really hard thinking that the climate will favour you but eventually, it switches to unfavorable conditions that can't allow our seeds to grow. This has made our farm fields go to waste because we had planted early hoping that the climate would favour what people had planted. Unfortunately, it turned out differently and there are no grains. Some people had tilled, some had planted, and farm fields have gone unplanted because things did not turn out as expected. So that is how climate change has hurt us in another way as per our discussion today.",No,,,,Neighbour,Yes,Building terraces,No,,Neighbour,Yes,Use water,Other,Erosion.,30,1000000,"School,Health Centre,Financial Service (e.g. M-Pesa agent; bank)","['Walking ', 'Walking ', 'Walking ']","['45', '60', '60']","['Very Hard', 'Very Hard', 'Very Hard']",Mobile phone,Social events  ,Internet search,2-3 times week,Every day,Every day,2-3 times week,Very connected,One should trust but needs to be careful,Self-help group.
637bf0de6c8a6d286cb5b9a7,202149554,2022-11-21T21:42:54,OK,luo,"TV,Motorbike,Mobile phone,Access to internet,Radio,Tea Kettle,Solar PV System,Cow,Goat,Homestead","Bible,Bike,Clothes,Corrugated Iron Sheet,Electricity,Furniture,House,Light Bulb,Mobile Phone,Money,Motorcycle,Road,Solar PV System,Toilet Squat,Vegetables","House,Money,Mobile Phone,Clothes,Motorcycle",Alego Usonga,50,Male,Married,Primary,,"Farmer-crops,Farmer-animals",,6,9,Father,,50,11,4,3,0,Only Husband,10000,No,,,Owns it fully,Yes,"I would love to change the floor and the wall because they are made of soil, which gives me a lot of work because I have to repair them every now and then.","Wood,Corrugated iron sheets,Steel bar",Nurse,,In  your own village/town,30,No,"Cooking,Bathing",,,Watering Crops,"Cooking,Bathing,Washing Clothes,Watering Crops",,Yes,"Kale,Maize,Beans",,Other,Dwells on the rain,,Solar Lantern,Private Solar System,,No,,Cooking,,Cooking,Cooling,,Extreme Heat,,"What makes me worried is that in this environment, we cannot encounter floods or those other effects as such, however, drought can really affect us because we won't have enough food, even our livestock might die and we might even lack water.","Irrigation,Donkey and Cart,River","Climate change is affecting people in so many ways because it can cause flooding until it makes people live a very desperate life. Another thing, climate change affects people in so many ways because we as farmers, it can come when plants are flourishing and when then drought comes and dried up the plants. Climate change can also come with wind and spoil all the plants because when there are no trees to prevent wind, when it gets a space it can damage. It is a good thing to see how we can help because it has many effects. So I plead people to plant tree to reduce its effect. It can found you in the lake fishing until you get capsized with a boat and cause death. So it is not an easy thing, it is a serious thing that its effects are dangerous.",Yes,"In our region where we are, *** *** sub-location, *** county, climate change brought us harm because there was lack of pasture. Climate change is also going to cause us to lack enough food because the crops we had were destroyed by the drought that lasted beyond one and a half months. Therefore according to me, I think climate change is harming us.",No,,,,Family,Yes,Move to a different location,No,,Family,Yes,Stop by pouring water,Drought,,7,2000000,"Water Source (e.g. river; well),School,Market","['Walking ', 'Walking ', 'Walking ']","['20', '30', '30']","['Hard', 'Hard', 'Hard']",Mobile phone,"Internet search,Radio",Radio,Once a week,Every day,2-3 times week,Every day,Connected,One should trust but needs to be careful,None
637bf2fec49dd25bd4baa690,202150452,2022-11-21T21:51:58,OK,luo,"TV,Motorbike,Mobile phone,Radio,Access to internet,Solar PV System,Cow,Homestead,Car","Wheelbarrow,Battery,Bible,Clothes,Corrugated Iron Sheet,Furniture,House,Jerrycan,Light Bulb,Medicine,Mobile Phone,Money,Motorcycle,Road,Solar PV System,Toilet Squat,Torch,Vegetables,Water","Bible,Clothes,Corrugated Iron Sheet,House,Medicine",Alego Usonga,48,Female,Married,Secondary,,Farmer-crops,,11,5,Husband,,48,9,7,2,0,Mostly Wife,20000,No,,,Owns it fully,No,"If I can be given a chance to change something in my house, I would like to build a permanent house, I would like to change bricks, and make it a brick house. I would like to change it to a corugated green iron sheet. With tiles floor.","Corrugated iron sheets,Wood,Other",Doctor,,Outside your own village/town,40,Yes,,,,"Cooking,Bathing,Washing Clothes,Watering Crops","Cooking,Bathing,Washing Clothes","Cooking,Bathing,Washing Clothes",Yes,"Kale,Maize,Ground Nuts,Beans,Sorghum",,Irrigation pump,,25,Solar Lantern,Private Solar System,,No,,Cooking,,Cooking,Cooking,Other appliances,Drought,,,"Irrigation,Jerrycan,Road",Climate change is play  I can say like how rains can rain sometimes it can rain a lot or rain a little sometimes  or sometime it can be windy that's what is called climate change,Yes,"When the climate changes, when the climate is good and it has rained, people get grains affordably and you find that there is no hunger. People can plant sweet potatoes, yams, leafy vegetables, and tomatoes, and therefore hunger is reduced. When it hasn't rained because the climate has changed, there is a lot of hunger like now it hasn't gone well and so, there is so much hunger making grains more expensive. When people plant trees, the trees dry up yeah.",No,,,,Neighbour,Yes,"Planting trees
Building terraces",Yes,We saw our house burning down. Utensils and everything got burnt down. Even our clothes. We were left with no clothes. We were offered help by good samaritans.,Neighbour,Yes,Fire extinguisher,Other,Floods,1000,5000000,"Market,Water Source (e.g. river; well),Financial Service (e.g. M-Pesa agent; bank)","['Walking ', 'Walking ', 'Walking ']","['30', '5', '30']","['Very easy', 'Hard', 'Easy']","Mobile phone,Word of mouth",Internet search,Social events  ,Once a week,Every day,Every day,Never,Very connected,One should trust but needs to be careful,Women group
637c592f4208c59e3cb008fc,202184142,2022-11-22T05:07:59,OK,en,"TV,Mobile phone,Radio,Solar PV System,Cow,Homestead","Clothes,Jerrycan,Mobile Phone,Money,Solar PV System,Stove,Toilet Squat,Vegetables,Water,Wheelbarrow,Bike","Solar PV System,Stove,Water,Clothes,Mobile Phone",Alego Usonga,44,Male,Married,Primary,,"Farmer-crops,Shop owner",,5,3,Father,,44,4,2,2,0,Mostly Husband,15000,No,,,Owns it fully,Yes,"My house is okay with me the way I am seeing it. I cant see anything to change until there is something that forces me. When my chairs get old is when I can change  and bring other chairs. But the way I am seeing it, it iss jusk okay. I am in my level, you knoe everyonre has its own level. I have tried and reach here so there ois nothing we can change unless something gets old and or breaks","Wood,Corrugated iron sheets,Mud bricks",Doctor,,Outside your own village/town,30,Yes,,,,"Bathing,Washing Clothes,Watering Crops",Cooking,,Yes,"Maize,Kale",,Drip irrigation,,,Solar Lantern,Private Solar System,,No,,"Cooking,Other appliances",,,"Lighting,Cooling",,Drought,,"Hunger, especially if you have a family. If you have a family and you lack what to eat, you just feel sick and restless. Even if you look at your kids the way they look unmotivated, even for adults, one wonders what kind of problem this is. So hunger is really making me worried, it is a very big problem. It is a very big problem that even if you want to sleep hungry together with your children, you just have problems because of how desperate your children look. You know children are not aware that you don't have food, and that is the problem. A child might only know that father and mother are struggling, but the issue of lacking food they are not aware of. So for us, we just try with this hunger if we can at least get some porridge for the children if things get really tough, or anything that a child can eat. At least for adults, we are aware and we can struggle, the little we can get can at least feed our children as we hope for the best tomorrow, because a child is not aware for sure.","Jerrycan,Stove,Mobile Phone","We are doubting this weather. The reason I doubt it is that at times it rains at times it does not. Also, sometimes you make plans with coming rainfall but it does not come. So we are also trying to plant trees (audio missing) because they will help us to improve the atmosphere. When you plant your crop, you hope that if does well then you are fine but if the weather is not good because the rains refuse to come, you lose hope. As farmers, it is only farming that is on our minds and as such, we help ourselves only when we harvest something. Times are so tough. You realize the price of maize is high and there is no money. Therefore, we are trying to plant trees because we hear that when we do that, the weather changes for better. This weather is proving a problem because sometimes there is rain and sometimes there is none. As such, we just make do with the situation as it is.",Yes,"Due to the change of weather, the beans that I recently planted withered. It has affected me in that if has always dissapointed me and that is where I have suffered. You can try to do the things that you value and you end up getting dissapointments. It makes us have small faith because whatever we plan to do comes with upleasant result and that is where the change of weather has made us suffer.",Yes,1,May,"When that water comes, the rivers always get flooded and plants don't need a lot of water. So when the plants does not require alot of water they get spoiled and when the water dries up there would be no good harvest.",Other (specify),No,We have not planned for any actions to take,No,,Police,No,We'll just prevent deaths by removing people.,Other,None,90,5000,"Market,Water Source (e.g. river; well),Financial Service (e.g. M-Pesa agent; bank)","['Walking ', 'Walking ', 'Walking ']","['2', '3', '20']","['Easy', 'Easy', 'Hard']",Mobile phone,"TV,Radio",Mobile phone,Never,Never,Every day,Every day,Connected,You can't trust anyone,Member of Church organization.
637c8c4e79df70c6c1614a39,202185921,2022-11-22T08:46:06,OK,luo,"TV,Mobile phone,Radio,Cow,Goat,Homestead","Wheelbarrow,Water,Vegetables,Torch,Toilet Squat,Stove,Solar PV System,School,Road,River,Money,Mobile Phone,Medicine,Jerrycan,House,Hospital,Furniture,Clothes,Bible","House,Clothes,Toilet Squat,Water,Vegetables",Ugunja,62,Male,Married,Primary,,"Other,Farmer-animals,Farmer-crops",,4,7,Father,,62,6,3,1,1,Joined,5000,No,,,Owns it fully,Yes,"If you were to change something in this house, what would you change and why?

This? Eh. First, it is small, I would expand it to grow big.

What else?

I would tile the floor. 

Would you tile? 

Yes.

Okay. Why switch to tile? 

So that I don't bother with to repairing the mud floor every time.

Every time you repair the mud floor?

Yes, when I cannot afford cement.

Eh, ka onge cement. OK OK.

Okay.","Wood,Corrugated iron sheets,Other",Doctor,,Outside your own village/town,30,Yes,,,,"Cooking,Bathing,Washing Clothes,Watering Crops",,,Yes,"Kale,Maize,Other,Beans,Ground Nuts",,Other,Rain water,,Hydropower,National grid connection,,No,,,,Cooking,Lighting,Other appliances,Extreme Heat,,"Why do you dread the hot scorching sun the most?

Because by the time we plant our crops on the farm, the scorching sun burns the germinating plants leading to low yields and hunger in the community.

Does it bring hunger to the community?

Yes.

Okay","Water,House,Vegetables","Climate change  is the change in weather conditions. In the past It was known that from late November to February,there would be hot sun and after then thre would be rain. But Nowadays the time when rain is expected, it is sunny. And when we expect sunny days, we experience rainy days. That is the change in weather conditions.",Yes,"What has changed in your community due to climate change that has been in the present and past years?

Climate change has resulted in low farm yields. This is so because farmers were waiting for the rainfall season and by the time they start planting, the season is already over. So germination of crops is affected hence low yields. Instead of a farmer getting ten bags they get only three to four bags. So that's what has brought about a change and hunger in the community.

That is bad.

Yes.

Thank you.",No,,,,Neighbour,Don't know,I don't know.,No,,Neighbour,Yes,"While using fire, one should put things that can easily catch fire far from where the fire is.",Mud slide,,365,,"Water Source (e.g. river; well),Health Centre,School","['Walking ', 'Walking ', 'Walking ']","['30', '30', '30']","['Hard', 'Hard', 'Easy']",Mobile phone,"Radio,TV","Radio,TV,Social events  ",Never,Never,2-3 times week,Every day,Connected,One should trust but needs to be careful,Small Christian community.
